,body,single_q,double_q,dashes,braces,spaces,badwords_count,Cluster
0,,0.0,0.0,0.0,0.0,0.0,0.0,Cluster 0
1,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
2,,0.0,0.0,0.0,0.0,0.0,3.0,Cluster 0
3,,0.0,0.0,0.0,0.0,0.0,0.0,Cluster 0
4,,0.0,0.0,0.0,0.0,0.0,1.0,Cluster 0
5,,0.0,0.0,0.0,0.0,0.0,4.0,Cluster 0
6,,0.0,0.0,0.0,0.0,0.0,4.0,Cluster 0
7,,0.0,0.0,0.0,0.0,0.0,3.0,Cluster 0
8,"{""tags"":[{""sizes"":[{""width"":300,""height"":250},{""width"":250,""height"":250}],""primary_size"":{""width"":300,""height"":250},""ad_types"":[""banner""],""uuid"":""783358b34eb5fb6"",""id"":33893102,""allow_smaller_sizes"":true,""use_pmt_rule"":false,""prebid"":true,""disable_psa"":true,""reserve"":0.55,""position"":2,""supply_type"":""web"",""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_BTF_300"",""hb_source"":1}],""user"":{},""sdk"":{""source"":""pbjs"",""version"":""9.11.0""},""device"":{""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""w"":1600,""h"":900},""keywords"":[{""key"":""zepto vs swiggy""},{""key"":""zepto ceo aadit palicha""},{""key"":""zepto ceo""},{""key"":""Zepto""},{""key"":""Aadit Palicha""}],""referrer_detection"":{""rd_ref"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_top"":true,""rd_ifs"":0,""rd_stk"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_can"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms""},""eids"":[{""source"":""pubcid.org"",""id"":""9b105281-63da-4fc4-a467-f85f19e64465""}]}",0.0,122.0,0.0,2.0,18.0,2.0,Cluster 0
9,"{""tags"":[{""sizes"":[{""width"":300,""height"":250},{""width"":250,""height"":250}],""primary_size"":{""width"":300,""height"":250},""ad_types"":[""banner""],""uuid"":""529c5055f992868"",""id"":33893102,""allow_smaller_sizes"":true,""use_pmt_rule"":false,""prebid"":true,""disable_psa"":true,""reserve"":0.55,""position"":2,""supply_type"":""web"",""gpid"":""/7176/TOI/TOI_Tech/TOI_Tech_MTF_300"",""hb_source"":1}],""user"":{},""sdk"":{""source"":""pbjs"",""version"":""9.11.0""},""device"":{""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.70 Safari/537.36"",""w"":1600,""h"":900},""keywords"":[{""key"":""zepto vs swiggy""},{""key"":""zepto ceo aadit palicha""},{""key"":""zepto ceo""},{""key"":""Zepto""},{""key"":""Aadit Palicha""}],""referrer_detection"":{""rd_ref"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_top"":true,""rd_ifs"":0,""rd_stk"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms"",""rd_can"":""https://timesofindia.indiatimes.com/technology/tech-news/zepto-is-not-an-amazon-or-walmart-but-an-indian-company-with-zepto-ceo-aadit-palicha/articleshow/115540600.cms""},""eids"":[{""source"":""pubcid.org"",""id"":""9b105281-63da-4fc4-a467-f85f19e64465""}]}",0.0,122.0,0.0,2.0,18.0,2.0,Cluster 0
