method,path,body,single_q,double_q,dashes,braces,spaces,badwords_count,class
GET,/ajax/libs/jquery/3.7.1/jquery.min.js,,0,0,0,0,0,0,l
GET,/libs/analytics-browser-2.10.0-min.js.gz,,0,0,0,0,0,0,l
GET,/action/0?ti=97152766&Ver=2&mid=68fdd392-832a-423c-b728-a0cd4907d32c&bo=1&sid=5af834a0a98111efa02f95a2b26d5bfd&vid=5af85bf0a98111ef8ef349c3da4b90a5&vids=1&msclkid=N&uach=pv=&pi=918639831&lg=en-US&sw=1600&sh=900&sc=24&tl=Postman: The World's Leading API Platform | Sign Up for Free&p=https://www.postman.com/&r=https://www.google.com/&lt=18127&mtp=10&evt=pageLoad&sv=1&cdb=AQAQ&rn=749585,,1,0,0,0,10,0,l
POST,/actionp/0?ti=97152766&Ver=2&mid=68fdd392-832a-423c-b728-a0cd4907d32c&bo=2&sid=5af834a0a98111efa02f95a2b26d5bfd&vid=5af85bf0a98111ef8ef349c3da4b90a5&vids=1&msclkid=N&evt=pageHide,,0,0,0,0,0,0,l
GET,/bat.js,,0,0,0,0,0,0,l
GET,/p/action/97152766.js,,0,0,0,0,0,0,l
GET,/a17ee732ee686062fe31b5c0996e2efdae2368fb9c6d2f7a0e225f49da118c03/68747470733a2f2f766f79616765722e706f73746d616e2e636f6d2f696c6c757374726174696f6e2f746f6f6c626f782d706f73746d616e2e737667,,0,0,0,0,0,0,l
GET,/consent/ab69d0c9-1a87-42f7-92b5-b0cfbe8b098d/ab69d0c9-1a87-42f7-92b5-b0cfbe8b098d.json,,0,0,0,0,0,0,l
GET,/consent/c3d9f1e3-55f3-4eba-b268-46cee4c6789c/c3d9f1e3-55f3-4eba-b268-46cee4c6789c.json,,0,0,0,0,0,0,l
GET,/scripttemplates/otSDKStub.js,,0,0,0,0,0,0,l
